message,answer
ну же .,вставай .
мне нужно . . .,не надо ?
им не нужна была помощь .,для нее это уже естественно .
ничего полезного .,как и всё остальное .
да ?,да .
я в порядке .,все в порядке .
"то есть , ты хочешь сказать , что мы все друг для друга убийства дяди бена .","а не отец , который отдал приказ или я , который его выполнил ."
"ну , вот ! проходи , садись в кресло твоего дяди пита .","он подойдет попозже , сынок ."
расскажи мне поподробней об этом баре .,"я расскажу , но не здесь ."
"помни , что человеку всегда очень плохо , если он что - то скрывает .","я бы сказал , знает его лучше , чем кто бы то ни было ."
кто ?,вирджиния маккей .
"но твой отец умер , все уже кончено .",у меня дети и внуки .
"он стремится помогать людям , чтобы изменить их жизнь к лучшему .","это значит , что он делает что - то и для меня ."
"ну что ж , давайте сделаем это .",с чего мы начнем ?
"спасибо , до свидания .",не возвращайтесь .
"о , сестрёнка .",сестрёнка ?
не мочите его .,придержите его .
боже .,спокойно . спокойно .
просто замечательно .,что случилось ?
"но я бы хотел уйти в отставку сейчас , пока до этого не дошло .","он задержан , а я застрял здесь , как будто это я - следующий ."
( смешок ) как тебе это ?,нравится .
верно ?,верно .
замечательно .,замечательно .
"походу там холодновато , да ?","да , холодно ."
но тебе нет .,нет !
тебе не о чем беспокоиться пока я рядом . бред сивой кобылы .,просто позволь мне позаботиться о тебе .
разве было бы лучше если бы я убил её по - другому ?,я бы никого не смогла убить . я не хотела причинять ей вреда .
давайте .,идем .
"нет , я думаю , это очень впечатляет .","что до магии , милорд , у неё есть много методов , настолько же много , смею сказать , как и у ведения войны ."
так вы еврей ?,я не еврей .
"интересно , как она ?",с ней все замечательно .
да . да . мы должны разделиться и встретиться позже .,"может , когда - нибудь ."
"и мы знаем , что она не вернула его в университет .",вы быстро вошли в курс .
с большим удовольствием !,что предпочитаете ?
но и не муж .,вот только официально - муж .
"это верно . но как было бы здорово , если б она напоминала ту жизнь , на острове , возле маяка .",да . . . я думаю это будет классно .
"у меня был нож , но я его не использовал .",травма от удара тупым предметом ?
"творческая работа , так ты это назвала ?","да , моя ."
"где мужья старше своих жен , по крайней мере , на 5 лет",ты женат ?
что ?,попить .
голограмма .,два раза .
"хотя , я овдовела , когда он меня бросил .","то есть , ты его бросила ."
прыгаем !,потанцуем !
под прикрытием же не работают больше 11 месяцев .,и даже 7 .
мама с папой не смогут приехать на день дедушки и бабушки .,я тоже бабушка ?
ничего себе .,"ну , я думаю , моя работа сделана ."
"я скрывался , приехал сюда , чтобы . . . быть подальше от всего этого хаоса .",я не могу все бросить .
"я не хотела , чтобы вам стало хуже .",прекрати !
"поехали отсюда , чувак .","нет , нет , это мой отец . просто поехали , поехали ."
я . . .,я только . . .
семёнов . . .,без разницы .
в свое личное время могу позаниматься с тобой .,давай .
в магазин беги .,я не люблю магазины .
"как это , когда у тебя что - то крадут .",чувствовать ?
именно !,они великолепны !
"дорогой , мамочка прямо здесь .",мамочка здесь .
быть живым ничего не значит .,"но и того даже нет , ничего нет , кроме тишины , успокоения ."
"теперь у меня все , что нужно .",всё будет отлично .
ты мне не поможешь ?,"конечно , помогу ."
"но здесь произошло столько такого , что мы не можем объяснить .","но что тут понимать , месье ?"
генри !,ты здесь !
он жил по соседству .,я смотрел с балкона .
"да , было приятно .",приятно .
офицер .,младший офицер .
"летает ниже радаров , избегает прессы .","он выходил из метро , когда первый самолет врезался в башню ."
поехали домой .,у меня дорога до границы .
это просто,но ты можешь сказать мне
"и если корабельный доктор считает , что мне нужен осмотр , кто я такой , чтобы спорить ?","не "" доктор "" а доктор !"
"мы купились на это нелепое заблуждение , что нужно поставить на себе крест , как только появляются дети .",у тебя нет такой власти .
джорджия !,джейк !
ты должен был хотя бы выучить их имена .," а кем вьi должньi следовать ?	bad	0.8716525842
215799997728767		ни кто не узнает , что мы здесь были .	ирэн .	0	ваша дочь .	bad	0.9307942265
215799997728767		ни кто не узнает , что мы здесь были .	ирэн .	1	это будет ошибкой , мисс хэйл .	good	0.970270727
215799997728767		ни кто не узнает , что мы здесь были .	ирэн .	2	спасибо , джейн .	bad	0.8507709133
215799997728767		ни кто не узнает , что мы здесь были .	ирэн .	3	о , ирэн , ирэн .	good	0.8193677312
215799997728767		ни кто не узнает , что мы здесь были .	ирэн .	4	он снова изменил правила .	bad	0.6249052843
215799997728767		ни кто не узнает , что мы здесь были .	ирэн .	5	ирэн .	bad	0.9915533287
215821132105017	повидайся с ней .	ты должна ей хотя бы это .	наверное , у меня задержка из - за стресса .	0	у тебя слишком сильный стресс .	good	0.97000791
215821132105017	повидайся с ней .	ты должна ей хотя бы это .	наверное , у меня задержка из - за стресса .	1	стресс ?	good	0.9388994315
215821132105017	повидайся с ней .	ты должна ей хотя бы это .	наверное , у меня задержка из - за стресса .	2	она бы не сделала этого , если бы депрессии не было .	bad	0.9970572439
215821132105017	повидайся с ней .	ты должна ей хотя бы это .	наверное , у меня задержка из - за стресса .	3	не стоит об этом переживать .	good	0.9335197263
215821132105017	повидайся с ней .	ты должна ей хотя бы это .	наверное , у меня задержка из - за стресса .	4	почему у меня должен быть стресс ?	bad	0.4995537302
215821132105017	повидайся с ней .	ты должна ей хотя бы это .	наверное , у меня задержка из - за стресса .	5	да , она просто пытается взять себя в руки .	bad	0.9823472347
215849116031892			держи ухо в остро , и тебя не ограбят .	0	руки !	bad	0.9709459373
215849116031892			держи ухо в остро , и тебя не ограбят .	1	или я выстрелю !	bad	0.7644280448
215849116031892			держи ухо в остро , и тебя не ограбят .	2	руки ! руки вверх !	bad	0.8133755387
215849116031892			держи ухо в остро , и тебя не ограбят .	3	( громкий треск )	bad	0.9924948832
215849116031892			держи ухо в остро , и тебя не ограбят .	4	влево !	bad	0.9921433996
215849116031892			держи ухо в остро , и тебя не ограбят .	5	спасибо , сэр , но мазь тут не поможет .	bad	0.9976265547
215897905588379	и сейчас вы , наверное , удивлены , что я на это отвечу им .	и кто они такие , эти парни крутые . во что они играют , на что намекают .	хотите узнать как больно мне было падать ?	0	но если ты бьешь по - другому , это делает огромную боль .	bad	0.8678877545
215897905588379	и сейчас вы , наверное , удивлены , что я на это отвечу им .	и кто они такие , эти парни крутые . во что они играют , на что намекают .	хотите узнать как больно мне было падать ?	1	боль только в твоем сознании .	good	0.9866765023
215897905588379	и сейчас вы , наверное , удивлены , что я на это отвечу им .	и кто они такие , эти парни крутые . во что они играют , на что намекают .	хотите узнать как больно мне было падать ?	2	мы знаем как это больно .	good	0.9828728183
215897905588379	и сейчас вы , наверное , удивлены , что я на это отвечу им .	и кто они такие , эти парни крутые . во что они играют , на что намекают .	хотите узнать как больно мне было падать ?	3	я скажу тебе , чего . они боятся темноты .	bad	0.7746844161
215897905588379	и сейчас вы , наверное , удивлены , что я на это отвечу им .	и кто они такие , эти парни крутые . во что они играют , на что намекают .	хотите узнать как больно мне было падать ?	4	но теперь знаем .	bad	0.9434417536
215897905588379	и сейчас вы , наверное , удивлены , что я на это отвечу им .	и кто они такие , эти парни крутые . во что они играют , на что намекают .	хотите узнать как больно мне было падать ?	5	да , это больнее всего .	good	0.9550535832
215910614351725			мы хотим просить тебя о помощи . хорошо . . .	0	что вы говорите ?	neutral	0.8300691947
215910614351725			мы хотим просить тебя о помощи . хорошо . . .	1	профессиональная помощь .	good	0.5297212732
215910614351725			мы хотим просить тебя о помощи . хорошо . . .	2	что вы хотите ?	good	0.626609102
215910614351725			мы хотим просить тебя о помощи . хорошо . . .	3	и как я могу вам в этом помочь ?	good	0.9739805419
215910614351725			мы хотим просить тебя о помощи . хорошо . . .	4	чем я могу помочь вам ?	good	0.969631719
215910614351725			мы хотим просить тебя о помощи . хорошо . . .	5	какую помощь ?	good	0.7633975279
215910825301913		вы правы наполовину .	он не хотел , чтобы его нашли мы , но он готовит приманку для бенсон .	0	я думаю , что он хочет убедиться , что вы готовы для чего - то более серьезного .	good	0.939848538
215910825301913		вы правы наполовину .	он не хотел , чтобы его нашли мы , но он готовит приманку для бенсон .	1	послушайте , я знаю , что он контактировал с кэтрин , но это бы сделал любой хороший офицер .	good	0.8175823969
215910825301913		вы правы наполовину .	он не хотел , чтобы его нашли мы , но он готовит приманку для бенсон .	2	похоже , он не хотел , чтобы мы всё нашли . да .	good	0.9475984055
215910825301913		вы правы наполовину .	он не хотел , чтобы его нашли мы , но он готовит приманку для бенсон .	3	он был талантлив и любил свою работу .	bad	0.9907818521
215910825301913		вы правы наполовину .	он не хотел , чтобы его нашли мы , но он готовит приманку для бенсон .	4	может ему были нужны деньги .	good	0.9952000209
215910825301913		вы правы наполовину .	он не хотел , чтобы его нашли мы , но он готовит приманку для бенсон .	5	иначе , зачем ему продолжать играть ?	good	0.8982957182
215916966591338	она будет там .	мы обо всём договорились .	ужин в его комнате завтра вечером .	0	хорошо .	neutral	0.8820175418
215916966591338	она будет там .	мы обо всём договорились .	ужин в его комнате завтра вечером .	1	завтра вечером . хорошо . завтра .	good	0.9783601953
215916966591338	она будет там .	мы обо всём договорились .	ужин в его комнате завтра вечером .	2	завтра она тоже не сможет .	good	0.6440086421
215916966591338	она будет там .	мы обо всём договорились .	ужин в его комнате завтра вечером .	3	хорошо , сэр .	neutral	0.9382101444
215916966591338	она будет там .	мы обо всём договорились .	ужин в его комнате завтра вечером .	4	хорошо , завтра вечером .	good	0.7912697598
215916966591338	она будет там .	мы обо всём договорились .	ужин в его комнате завтра вечером .	5	это было бы прекрасно . отлично .	good	0.9742935834
215943301828667		да .	что случилось ?	0	да ничего .	neutral	0.7706001604
215943301828667		да .	что случилось ?	1	ничего , все нормально .	good	0.9798717142
215943301828667		да .	что случилось ?	2	ничего не случилось .	good	0.9626426131
215943301828667		да .	что случилось ?	3	много всего .	neutral	0.5559833939
215943301828667		да .	что случилось ?	4	ничего .	neutral	0.938908419
215943301828667		да .	что случилось ?	5	ничего , просто . . .	neutral	0.9149828813
215959976307766			с той поры , как увидел тебя .	0	 я увидел тебя """
" . . . которым владеет  басс индастриз "" .",уилльям комптон .
ещё одна пачка .,возьмите только одну .
контроль должен этим заняться .,контроль должен этим заняться .
да .,какой идиот .
там все они жили .,караба не мешает им так думать .
больше нет .,кого нет ?
"расскажи же , что случилось .",ничего не случилось .
"когда ты сказала , что собираешься использовать ли как свою пешку , ты не шутила .","или ты это говорила , чтобы меня утешить , потому что я была похожа на кита ?"
нам остаётся только посочувствовать .,мы ничего не можем поделать .
по крайней мере это громкая кража .,повреждение имущества ?
могу предложить . . .,я и сам могу .
дела оборотней .,не такой уж и бардак .
я не хочу сегодня снова тобой рисковать .,"рискует вся команда , и ты рискуешь беном ."
она умерла на планете .," кажется  , умерла ?"
он всего добился .,лэнс ?
у меня кое - что есть .,что же ?
диетическая газировка .,кленовый сироп ?
хватит .,не перестану .
так живи ею !,"хорошо , мамочка ."
конечно !,надо же !
ну и что !,что !
так просто ты не уйдешь .,"нет , я не уйду ."
"меня зовут питер , а её - сильви .","нет , это - то я знаю , джон ."
ниже .,выше .
значит эти двое создали устройство вместе а потом бекетт использовал его для определения настоящей личности джона доу,"а думаем ли мы , что тайлер джадд достаточно сообразителен для этого ?"
и теперь у тебя есть шанс сделать все как пожелаешь .,"я могу сказать тебе всё , что пожелаешь ."
"запомните , главное скрытность , а не скорость .",и проще .
"надеюсь только , мы об этом не пожалеем .",не беспокойтесь об ужине .
копы знают о нас .,"они знают , шмидт ."
позволь мне это перефразировать .,невозможно .
"думаю , это из - за жары .",эта ужасная жара .
"пока , ребята .","пока , макс ."
он прошёл мимо меня .,надо было ехать быстрее .
покажи .,что ?
угол .,не вижу !
мы хотим есть !,приведу её .
"сначала , но не теперь .",и счастливо закончилось !
молчу . простите .,прощаю .
какого черта .,простите . извините меня !
а . . . нет ?,"нет , таковы правила ."
я . . .,алло ?
она хочет с тобой поговорить .,мне нельзя доверять .
"но ник может увидеть тебя , даже если ты не захочешь .","нет , я знаю , что мне нужно ."
"я думаю , она нравится мне .",ей все нравятся .
когда я уходила на меня напали и мне пришлось отстреливаться .,так надо было забрать обратно
"но на табличке написано , вы закрываетесь в 10 : 00 .",я работал допоздна с уитни .
"если бы вы могли - - прошу , скажите , что есть другие варианты .","я сожалею , стивен ."
"привет , только что услышал .",привет .
еще бы .,тащи инструменты .
"это 21 век , и иисус христос суперзвезда .","а в том , каким был иисус . . ."
вот что я вам скажу .,вообще то ваш сын нам все рассказал .
"то , что она сумасшедшая не значит , что она не заслуживает отличного лечения .",ее разум блуждает . . .
спасибо .,незачто .
видишь ? с этим миром вновь всё в порядке .," однако  , - ответила вселенная ,"
это больно ?,очень .
просят сменить маршрут .,будут выбирать дороги с покрытием и ехать в границах скоростного режима .
"мы весной назначили дату , как только он окончательно разведется .",а потом стадия пять - принятие .
это все что мне следовало бы сказать,"что ещё я могу сказать , кроме "" извини "" ?"
ты права .,я знаю .
"я знала , ты будешь надо мной смеяться .","я уверен , что на самом деле тебе не смешно ."
ее так и не нашли .,"скорее всего , она спряталась в другой каюте ."
в разных местах .,один раз ночевал в парке .
это место не заслуживает ваших слёз .,"но прошу , отпустите меня ."
стойте !,ты убил его одним ударом .
. . кретины,"те , кто даже читать не умеют ."
"пабло узнает о нём от копов или от прохожих , кто знает .",не узнает . мы осторожны .
ноги !,назад !
"ну , я хорошо провожу время .",очень хорошо .
покажи .,показать ?
работаю для тебя .,у меня уже есть работа .
ты слишком высоко замахнулся .,я не люблю ставки .
я . . .,"нет , это не так ."
"да , мы встречались на приеме по случаю открытия .",заходите .
но теперь мы готовы .,мы тоже .
хорошо .,"стойте , стойте , стойте . . ."
"бэт , это джейсон с тв шоу",не уиллоу стрит . и не уиллоу истсайд .
я должна уйти . . .,"нет , не уходи !"
почему нет ?,потому что я не могла этого сделать .
"нет , конечно делал .",что не делал ?
я не одна из них .,"теперь мы - твои люди , а не шон или кто - то еще ."
"ты все еще можешь ее спасти , оливер .",но я только недавно её видела .
"думаю , это просто недоразумение .",просто недоразумение ?
только взрослые ястребы .,"ну , да , два взрослых ."
ченнинг !,кейдж !
я кое - что собираюсь сделать .,что ты собираешься сделать ?
дать аспирин ?,давай .
все в порядке ?,"нет , всё совсем не в порядке ."
я его убила .,мы его убили .
"и кстати , нашего бульдога звали фэйт .",мистер харпер .
"а значит , чтобы купить его , нужно указать адрес , который можно проверить .","а значит , чтобы купить его , нужно указать адрес , который можно проверить ."
"эй , а как же твоя зарплата ?","если это все , что ты зарабатываешь за 2 недели , моя поездка слишком дорога ."
его тюремный номер был 57 .,что - то в нём было угрожающее .
хорошо .,отлично .
ладно .,вот и молодец .
" . . . которым владеет  басс индастриз "" .",мисс айвз .
у вас на корме светится иллюминатор .,вижу .
"барбара , я люблю тебя .","я люблю тебя , тоже ."
теперь это наша тайна .,и никогда не узнает .
"на три , два , и . . . давай .","три , два ."
"вы не можете . . . пожалуйста , вы не можете ей ничего из этого рассказывать . не можете рассказать никки об этом .",можем .
никак не могу его вспомнить .,можешь !
"успокойся , лиз . . .",всё нормально .
"дальше идти безопасно , но мы скоро увидимся .","конечно же , увидимся ."
"конечно , люблю .",так почему ты не говоришь мне об этом ?
вы рылись в моих вещах .,и не в твоих .
их тут нет случайно ?,"нет , у нас дома их нет ."
"о , нет . .",проверьте ещё раз .
вы сообщили об этом в полицию ?,"да , я вызвал полицию ."
довольно радостный .,рад слышать .
здесь только некоторые ценности .,некоторые ?
что это было ?,было что ?
были вместе в военной академии .,валькирия была военной .
"ты не можешь слышать колдовство во всем , что она говорит , из .","ты не можешь слышать колдовство во всем , что она говорит , из ."
хорошо . . .,что думаете ?
твоя очередь .,"эй , генри ."
иди сюда .,"давай , иди сюда ."
я приведу свою девушку лолу .,и мы вместе возьмем у него показания .
вы разрушители мечты .,"продолжайте мечтать , друг мой ."
ходит в унынии по дому няни .,она дышит ?
скорость ветра снаружи 200 км / ч .,"люди готовы забраться на поезд , когда скорость будет минимальной ."
"изменение климата , глобальное потепление , все это из – за человеческого воздействия .",что климат ?
я знаю .,корпус судна разрезают на части .
"розали и монро , властью , данной мне штатом орегон , объявляю вас мужем и женой .",ты можешь поцеловать невесту .
ладно .,обещай !
"знаешь , ник , тебе точно стоит поговорить с кем - нибудь .","нет , но спасибо ."
"* я рождена такой , эй !","рокси . . . и есть рокси , а ты . . . ты - отец ."
извините .,не хотел вас напугать .
"кто я , по - твоему ? !",твой сын .
"и набора антикварных ложек , и для стольких клюшек для гольфа , что вы даже себе не представляете , помимо всего прочего .",вы могли бы стать пиратом - комиком .
дома не сидится ?,уже давно пора быть дома
привет . . .,приветик .
что ?,"то , что слышал ."
не волнуйся .,как я могу не волноваться ?
покупайте свежий хлеб ! что за чёрт ?,"лучший хлеб , который мы можете купить !"
"ты о чем , мужик ?",о псе .
только представьте своё состояние каждым утром вашей жизни .,жизненный путь .
"есть худшие вещи , которые можно потерять .","итак , это ты тут дергаешь за все веревочки ?"
всадник убил корбина .,уэллс убил мейсона ?
удовольствия ?,"я получаю удовольствие от того , что тебе это доставляет удовольствие ."
знаю .,не хотел тебя отвлекать .
что ты сказала ?,а что я должна была сказать ?
да ?,что происходит ?
пойдем .,пойдем куда ?
ледо правда убил каспера ?,"женщину , которая была ему ближе всех ."
мужская компания . .,эбби ?
"чёрт возьми , давай , скажи же .",что сказать ?
и в железную дорогу .,дорога до луны .
она пытается найти свое место в этом мире .,но ей нужно помочь . и иногда давать по заднице .
хорошо .,прекрасно .
идем через западную лестницу .,по местам . стойте !
мы могли бы арестовать варгаса еще 5 месяцев назад .,я готова .
саша . . .,саша !
"как будет "" меня зовут шин и я из японии "" по - японски .",я говорю по - японски .
хорошо .,если не хочешь . . .
"ты боялся , что ваше уединение будет нарушено , если община поможет спасти жизнь зо ' ора ?","мне кажется , в опасности , эти стражники ."
"думаю , я буду спать в комнате для гостей .",для гостей ?
"ладно , спасибо .","не за что , сэр ."
мама .,мама !
разобрал всё на части .,"я смог избавиться от пятен , но не от чувства вины ."
"о , как мило !",ты покраснел .
как ? где ты был ?,катался по округе с друзьями .
"это все , что я хотел узнать .",таинственная девушка .
"ладно , ты же знаешь как это бывает , да ? это . . .",я знаю .
"это поздно , верно . . .",почему поздно ?
у вас два часа .,"нет , десять часов !"
ты довольна ?,"я довольна , если ты довольна ."
я ей не верю .,зато я верю .
"я пыталась помочь виктору , он был жутко расстроен .",марис и йоши были очень близки .
"я думаю об этом постоянно с тех пор , как увидел тебя .","больше , чем ты можешь представить ."
"если ты хотела что - то сказать , то говори .",не здесь .
"если мы не веселимся , то какой у всего этого смысл ? м ?",почему не отрываемся по - полной ?
вы исчезните !,"нет , мы не умрем !"
"кажется , мы слышали выстрел .","что же должно произойти , чтобы вы наконец начали сражаться ?"
помогите !,"пожалуйста , помогите !"
что ты сказал ?,что ты сказал ?
миша !,иди сюда !
как там его ?,пришлось его немного подлатать перед тем как уплыть .
она на пособие живёт .,на ее месте должен быть я .
вам я верю .,спасибо господу .
квинси просто пялился на меня всё время .,"о , да ладно , шон ."
начинай чистить это дерьмо .,"хорошо , принцесса ."
"я хочу , чтобы ты прекратил это и вернулся домой .","хорошо , потому что я тоже этого хочу ."
он выловил нам торс .,"и ушел , трезвым ."
посмотри мне в глаза .,"если это правда , ты не будешь моргать ."
это хаим .,она пыталась убежать . . . это ложь .
"простите , что за хрень я слышу . . .",всё в порядке .
разве ты здесь не для этого ?,и что по - твоему я скрываю ?
я не дам тебе обидеть детей .,"тогда я просто возьму то , что мне от тебя нужно ."
рэй ?,рэй .
зачем ты это говоришь ?,"затем , что ты должен это услышать ."
это очень важно ?,"нет , не важно ."
я вернусь .,"нет , не вернешься ."
медведь в лагере !,медведь это я !
не говори мне о потере всего .,не говорить о чём ?
что это с тобой ?,я не знаю .
я должна вернуться .,мы должны .
"удачи , дружок . . .",и вам удачи .
"прости , бро .","сложно поддерживать связь , когда за тобой охотятся ."
ты должна это брику .,я не могу !
"люди получают то лицо , которое они заслуживают .",но это делает их лишь еще более несчастными .
"вашу мать . . . на данный момент в доках проведено 10 арестов , и это только начало .",начало чего ?
что угодно .,мне надо зайти в магазин .
"серьезно , на что вы оба собрались жить ?",на многое .
"просто радуйтесь , что я смогла выкупить вас обеих .","я должна была сделать больше , чтобы защитить вас ."
огонь,как вы знаете бок о бок с вами воюет штурмовой батальон
это мелочь .,он не говорил об этой машине .
дай сюда .,дай сюда .
"нет , милочка .","о , я старше и сильнее тебя ."
нам нужно по крайней мере . . .,может быть это даст нам некоторое время .
"наверное , я попаду домой .","я тоже , но одна из нас должна играть роль хозяйки дома ."
"так , у всех все впорядке ?",в полном порядке .
"потому что у меня есть работа , и люди рассчитывают на меня .",и большой заработок .
"коп . я думал , ты крепкий орешек .","я что , похож на копа ?"
дело раскрыто .,раскрыто ?
клянусь .,мамой поклянись .
парень !,этот парень весь в деле .
его первой ошибкой была игра в кено .,"но да , она была всем что он оставил"
"арт , ты должен это увидеть .",это .
ты в порядке ?,"да , в порядке ."
ты красивая .,как и ты .
ты должна услышать эту песню .,особенную песню .
не хочу вам мешать .,сделаете мне одолжение ?
ничего .,"что "" ничего "" ?"
заказчики .,"ну , а что за клиенты ?"
я просто не . . . думаю . . .,я поняла .
"и неважно , что вы сделаете со мной .",и со мной тоже .
". . . не видел сложных переломов , разрывов селезёнки и глубоких порезов на лице .",несчастный случай на лодке ?
"я видел , как ты убивал других вампиров ,","о , ну в противном случае ты мог оставить их для ходячих ."
спасибо .,да пожалуйста .
"демон , оттуда , из океана .",это плутон !
кофе !,никакого кофе !
"мой отец хотел , чтобы я шёл по его стопам .",где твой отец ?
но только на открытом месте .," выходи из здания направо .	good	0.646616001
193196703690245			но только на открытом месте .	4	я заплачу , когда вернёмся .	bad	0.6621046355
193196703690245			но только на открытом месте .	5	иди туда и оставайся на месте .	bad	0.9761249423
193197962012448	я думал , мой отец уничтожил ее .	твой отец построил первую .	он сам должен был служить . . .	0	но не убил же .	bad	0.9667899604
193197962012448	я думал , мой отец уничтожил ее .	твой отец построил первую .	он сам должен был служить . . .	1	он был .	bad	0.8125901795
193197962012448	я думал , мой отец уничтожил ее .	твой отец построил первую .	он сам должен был служить . . .	2	я имел в виду хорошего отца .	good	0.6603523279
193197962012448	я думал , мой отец уничтожил ее .	твой отец построил первую .	он сам должен был служить . . .	3	нет , не заслужил .	bad	0.868505984
193197962012448	я думал , мой отец уничтожил ее .	твой отец построил первую .	он сам должен был служить . . .	4	он оставил вдову с шестью детьми .	good	0.7230085487
193197962012448	я думал , мой отец уничтожил ее .	твой отец построил первую .	он сам должен был служить . . .	5	он не знал как с этим справляться .	good	0.9424195472
193200781179072	она мне снится каждую ночь с прошлого лета .	и я просыпаюсь со стояком .	а кто она вообще такая ?	0	какая - то девушка , машину которой ты сфотографировала .	good	0.8420180611
193200781179072	она мне снится каждую ночь с прошлого лета .	и я просыпаюсь со стояком .	а кто она вообще такая ?	1	моя подружка .	neutral	0.7297928161
193200781179072	она мне снится каждую ночь с прошлого лета .	и я просыпаюсь со стояком .	а кто она вообще такая ?	2	бывшая зака .	good	0.9810020512
193200781179072	она мне снится каждую ночь с прошлого лета .	и я просыпаюсь со стояком .	а кто она вообще такая ?	3	моя бывшая .	good	0.9873039866
193200781179072	она мне снится каждую ночь с прошлого лета .	и я просыпаюсь со стояком .	а кто она вообще такая ?	4	моя бывшая подружка .	good	0.9771806442
193200781179072	она мне снится каждую ночь с прошлого лета .	и я просыпаюсь со стояком .	а кто она вообще такая ?	5	старая знакомая .	good	0.9771409595
193205468978149			что !	0	что значит  что "" ?"
